channelId,channelTitle,videoCount,avgViewCount,avgLikeCount,avgDislikeCount,avgCommentCount,avgDurationSeconds,longCount,shortsCount
UCtIX-z4rOjmzInrW3Ac6GcA,JUMENTIM AMARELO,500,51955.9,8068.4,0.0,555.8,1030.9,470,30
UCu79AeVqrq42vmSIp1OHyfA,Empiricus,420,8466.3,186.2,0.0,7.1,1893.0,384,36
UCutrj9cR0cNi2PfiTMGAWrA,DCM TV,473,13492.4,1701.4,0.0,75.9,5415.0,405,68
UCv-QXC04JCxklAUQQe9vCuQ,Prof. JeanGrafia | GabaritaGeo | ,480,48009.2,2743.6,0.0,211.7,944.7,348,132
UCvO2BExvkAbGMsTGnEnI_Ng,Lula,471,27304.2,3773.1,0.0,387.8,1517.7,329,142
UCvmWNQH4c2T3Triih3lftiw,Cortes do Inteligência [OFICIAL],472,349276.3,17034.7,0.0,952.7,1029.9,462,10
UCwONybZQdULFV_ts2911Rqg,Tiago Reis,445,23645.2,1719.8,0.0,39.7,357.2,157,288
UCxI9vN6UbxmBt8VIvUKtJaA,Nikolas Ferreira,368,267717.8,38467.3,0.0,2808.0,966.5,348,20
UCxMwNPPBqQ31UsjwT7jgg_g,A Voz Trabalhadora,481,7365.1,852.9,0.0,70.6,3380.7,476,5
UCxj2IbZxr2Xsm2lgpa5nIng,Josué Aragão,483,105193.5,10314.8,0.0,1016.3,737.6,409,74
UCy9adZwBbh1wg2O9IBWe1hQ,OLAVO É DO CARVALHO,498,64250.3,12250.1,0.0,443.7,849.1,498,0
UCyyD0uZzrvjF4GKsmFBuUOg,Tony Devito,500,16015.5,2221.5,0.0,164.5,1580.2,480,20
UCzHAqCsFPpPQVg2yJXCX7cg,Renato Freitas,338,9619.2,1472.6,0.0,157.7,627.6,295,43
UCzJPdSTGj7KPZLjaOatWS4A,Os Sócios Podcast,494,55179.4,3913.1,0.0,107.5,790.0,243,251
UCzc8wM5icV7fr0yGu2q9Cuw,Leonardo Stoppa,495,27343.2,3234.5,0.0,205.0,1635.2,289,206
UCzjtGnD7qqeaHW3nvDVrjQA,Os Pingos nos Is,493,26568.3,1415.0,0.0,172.9,1627.4,443,50
